pretrained_RotNet_0.pth,pretrained_RotNet_1.pth,pretrained_RotNet_2.pth,pretrained_RotNet_3.pth,pretrained_RotNet_4.pth,pretrained_RotNet_5.pth,pretrained_RotNet_6.pth,pretrained_RotNet_7.pth,pretrained_RotNet_8.pth
0.3445427342766428,0.36298046827058716,0.35305635781901645,0.35118571710300905,0.3550255308222226,0.3647650424695158,0.3599900491864142,0.3529646721074173,0.33935409225910607
0.34493509246379433,0.35962014138569914,0.3569736332348002,0.34925937357305126,0.3518262348564446,0.3558021462422528,0.3565959776791273,0.3541329848980442,0.34068471699788483
0.3443404088090121,0.35425530583161213,0.35449268215161156,0.3509882583838922,0.35552468682233074,0.36160644086933713,0.3518498765067181,0.36154883466541193,0.3425069114380551
0.3436605527127865,0.36067657180626395,0.3571683015137793,0.3507028864985402,0.35397938743167284,0.35804709408793334,0.3568179912191576,0.34881684677155866,0.3436100552547639
0.34301301730106043,0.36280256676617334,0.35653245619857976,0.3482543519418489,0.35700062751476613,0.3503579814472563,0.34967223694355054,0.3573752484015501,0.34381537470526796
0.3419139382818389,0.36374135722334106,0.3527393916877746,0.3601389858365204,0.35459088097163877,0.3574536741980615,0.3500186457911346,0.3608794918997452,0.33117414896457836
0.3464569949143131,0.3563173547208138,0.35191642918208543,0.3494458747627308,0.3548892500554666,0.3585699477995091,0.34950525745979033,0.3536363738806105,0.3366042249947898
0.34517329361450333,0.3613950962904773,0.35017576768313136,0.3492371589732888,0.357005253592938,0.35665749462125523,0.35189397902580016,0.3470203223063681,0.3427985946371374
0.34067056299603465,0.35825233240304183,0.35373671191468303,0.35051242093919677,0.35510579305397205,0.35729281605490937,0.35539546246756504,0.36228832495683533,0.34125866235524066
0.3443089592314571,0.3610524608309568,0.3549317635855857,0.3506518371937729,0.3623611070551014,0.355194744065836,0.3492637037549416,0.34664281238444805,0.3408213192086006
