epoch,iteration,loss
0,78,4.96581
2,234,4.9236
3,312,4.9085
4,390,4.9658
5,468,4.94136
7,624,4.9763
8,702,4.9613
9,780,5.0366
10,858,4.938311
12,1014,4.9960
13,1092,4.9191
14,1170,4.8904
15,1248,4.941716
17,1404,4.9014
18,1482,4.8694
19,1560,4.9244
20,1638,4.953621
22,1794,4.8914
23,1872,4.9561
24,1950,4.9118
25,2028,4.890326
27,2184,4.8451
28,2262,4.8967
29,2340,4.8957
30,2418,4.921531
32,2574,4.9216
33,2652,4.8714
34,2730,4.9278
35,2808,4.925936
37,2964,4.8193
38,3042,4.8681
39,3120,4.8613
40,3198,4.947541
42,3354,4.8787
43,3432,4.9234
44,3510,4.9174
45,3588,4.887546
47,3744,4.8761
48,3822,4.8862
49,3900,4.9016
50,3978,4.911751
52,4134,4.8945
53,4212,4.9078
54,4290,4.8518
55,4368,4.876356
57,4524,4.8646
58,4602,4.8529
59,4680,4.9283
60,4758,4.899161
62,4914,4.8619
63,4992,4.8608
64,5070,4.8753
65,5148,4.857766
67,5304,4.8863
68,5382,4.8466
69,5460,4.8560
70,5538,4.865771
72,5694,4.9071
73,5772,4.9321
74,5850,4.9513
75,5928,4.825776
77,6084,4.8602
78,6162,4.9102
79,6240,4.8537
80,6318,4.895781
82,6474,4.9115
83,6552,4.8889
84,6630,4.8993
85,6708,4.844286
87,6864,4.8290
88,6942,4.8509
89,7020,4.8323
90,7098,4.892791
92,7254,4.8692
93,7332,4.8088
94,7410,4.8577
95,7488,4.8561
