epoch,iteration,loss
0,1,4.9215
0,2,4.9685
0,3,4.9762
0,4,4.9710
0,5,4.9892
0,6,4.9839
0,7,4.9989
0,8,4.9724
0,9,4.9020
0,10,4.9428
0,11,4.9407
0,12,4.9683
0,13,4.9453
0,14,4.9965
0,15,4.9190
0,16,4.8996
0,17,4.9437
0,18,4.9905
0,19,5.0037
0,20,4.9628
0,21,4.9549
0,22,5.0233
0,23,4.9372
0,24,4.9704
0,25,4.9689
0,26,4.9949
0,27,4.9733
0,28,4.9727
0,29,4.9490
0,30,4.9679
0,31,4.9977
0,32,4.9058
0,33,4.9548
0,34,4.9838
0,35,4.9811
0,36,4.9792
0,37,4.9525
0,38,4.8881
0,39,4.9994
0,40,4.9707
0,41,4.9569
0,42,4.9424
0,43,4.9658
0,44,4.9755
0,45,4.9228
0,46,4.9228
0,47,4.9802
0,48,4.9951
0,49,4.9165
0,50,4.9242
0,51,4.9557
0,52,4.9428
0,53,4.9758
0,54,4.9284
0,55,4.9800
0,56,4.9534
0,57,4.9224
0,58,4.9329
0,59,5.0257
0,60,4.8927
0,61,4.8924
0,62,4.9371
0,63,4.9613
0,64,4.9398
0,65,4.9631
0,66,4.9269
0,67,4.9180
0,68,4.9830
0,69,4.9526
0,70,5.0105
0,71,4.9663
0,72,4.9985
0,73,4.9961
0,74,4.9699
0,75,4.9868
0,76,4.9631
0,77,4.9526
0,78,4.9658
1,80,5.0327
1,81,4.9639
1,82,4.9959
1,83,4.9861
1,84,4.9205
1,85,4.9483
1,86,4.9467
1,87,4.9308
1,88,4.9524
1,89,4.9627
1,90,4.9428
1,91,4.9328
1,92,4.9892
1,93,4.9288
1,94,4.9576
1,95,4.9303
1,96,4.9095
1,97,4.9170
1,98,4.9256
1,99,4.9282
1,100,4.9363
1,101,4.9566
1,102,4.9641
1,103,5.0372
1,104,4.9413
1,105,4.9345
1,106,4.9331
1,107,4.9071
1,108,4.8911
1,109,4.9350
1,110,4.9484
1,111,4.9131
1,112,4.8999
1,113,4.9897
1,114,4.9797
1,115,4.9564
1,116,4.9642
1,117,4.9440
1,118,4.9615
1,119,4.9403
1,120,4.9076
1,121,4.9105
1,122,4.9985
1,123,4.9762
1,124,4.9355
1,125,4.9193
1,126,4.9707
1,127,4.9489
1,128,4.9963
1,129,4.9394
1,130,4.9243
1,131,4.9184
1,132,4.9028
1,133,4.9388
1,134,4.9884
1,135,4.9317
1,136,4.9546
1,137,4.9190
1,138,4.9332
1,139,4.9619
1,140,4.9267
1,141,4.9375
1,142,4.9194
1,143,4.9030
1,144,4.9445
1,145,4.9475
1,146,4.9807
1,147,4.9588
1,148,4.9048
1,149,4.8841
1,150,4.9370
1,151,4.9420
1,152,4.9535
1,153,4.9330
1,154,4.9486
1,155,4.9454
1,156,4.9622
2,157,4.9056
2,158,4.9150
2,159,4.9722
2,160,4.9543
2,161,4.8888
2,162,4.9724
2,163,4.9407
2,164,4.9335
2,165,4.9283
2,166,4.9849
2,167,4.9302
2,168,4.9416
2,169,4.9297
2,170,4.9430
2,171,4.9836
2,172,4.9805
2,173,4.9149
2,174,4.9761
2,175,4.9525
2,176,5.0329
2,177,4.9736
2,178,4.8999
2,179,4.9198
2,180,4.9814
2,181,4.9796
2,182,4.9672
2,183,4.9568
2,184,4.9666
2,185,4.9748
2,186,4.9483
2,187,4.9985
2,188,4.9484
2,189,4.9468
2,190,5.0076
2,191,4.8830
2,192,4.9027
2,193,4.9989
2,194,4.9538
2,195,4.9307
2,196,4.9491
2,197,4.9613
2,198,4.9321
2,199,4.9651
2,200,4.8669
2,201,5.0069
2,202,4.9423
2,203,4.9533
2,204,4.9212
2,205,4.9518
2,206,4.9564
2,207,4.9172
2,208,4.9547
2,209,4.9176
2,210,4.9370
2,211,4.9768
2,212,4.9754
2,213,4.9360
2,214,4.9176
2,215,5.0206
2,216,4.9203
2,217,4.9398
2,218,4.9776
2,219,4.9592
2,220,4.9745
2,221,4.9863
2,222,4.9265
2,223,4.9264
2,224,4.9775
2,225,4.9514
2,226,4.9449
2,227,4.9581
2,228,4.9308
