epoch,iteration,loss
0,1562,0.71691,3124,0.7635
2,4686,0.6866
3,6248,0.6465
4,7810,0.5131
5,9372,0.52206,10934,0.7289
7,12496,0.5972
8,14058,0.5813
9,15620,0.6317
10,17182,0.501411,18744,0.5607
12,20306,0.6950
13,21868,0.5594
14,23430,0.5360
15,24992,0.506316,26554,0.5520
17,28116,0.6002
18,29678,0.5684
19,31240,0.4419
20,32802,0.530521,34364,0.5189
22,35926,0.4800
23,37488,0.4232
24,39050,0.4805
25,40612,0.498526,42174,0.6442
27,43736,0.4261
28,45298,0.5863
29,46860,0.4118
30,48422,0.274231,49984,0.2649
32,51546,0.2558
33,53108,0.2893
34,54670,0.3081
35,56232,0.387236,57794,0.3403
37,59356,0.2212
38,60918,0.2578
39,62480,0.2636
40,64042,0.332441,65604,0.2876
42,67166,0.2072
43,68728,0.2670
44,70290,0.2840
45,71852,0.220746,73414,0.1700
47,74976,0.2903
48,76538,0.3829
49,78100,0.3191
50,79662,0.238551,81224,0.2599
52,82786,0.2550
53,84348,0.2486
54,85910,0.2971
55,87472,0.199656,89034,0.1839
57,90596,0.2969
58,92158,0.2229
59,93720,0.2209
60,95282,0.081461,96844,0.0396
62,98406,0.0111
63,99968,0.0232
64,101530,0.0363
65,103092,0.034966,104654,0.0206
67,106216,0.0132
68,107778,0.0397
69,109340,0.1007
70,110902,0.052271,112464,0.0406
72,114026,0.0585
73,115588,0.0643
74,117150,0.0224
75,118712,0.031376,120274,0.0350
77,121836,0.0594
78,123398,0.0537
79,124960,0.1046
80,126522,0.034781,128084,0.0096
82,129646,0.0101
83,131208,0.0026
84,132770,0.0011
85,134332,0.002586,135894,0.0027
87,137456,0.0023
88,139018,0.0029
89,140580,0.0015
90,142142,0.003591,143704,0.0011
92,145266,0.0006
93,146828,0.0013
94,148390,0.0013
95,149952,0.0027
