epoch,iteration,loss
0,1562,0.69021,3124,0.8292
2,4686,0.6197
3,6248,0.6965
4,7810,0.5908
5,9372,0.63626,10934,0.4995
7,12496,0.6603
8,14058,0.5048
9,15620,0.5893
10,17182,0.522811,18744,0.5084
12,20306,0.5391
13,21868,0.5441
14,23430,0.6214
15,24992,0.536516,26554,0.3741
17,28116,0.4205
18,29678,0.3940
19,31240,0.5653
20,32802,0.540221,34364,0.4052
22,35926,0.5274
23,37488,0.5179
24,39050,0.4806
25,40612,0.479526,42174,0.6293
27,43736,0.4658
28,45298,0.5028
29,46860,0.4442
30,48422,0.158931,49984,0.4005
32,51546,0.3524
33,53108,0.3594
34,54670,0.3622
35,56232,0.317036,57794,0.3034
37,59356,0.3298
38,60918,0.1742
39,62480,0.2418
40,64042,0.333941,65604,0.4098
42,67166,0.2183
43,68728,0.1521
44,70290,0.3490
45,71852,0.269846,73414,0.3058
47,74976,0.2173
48,76538,0.1656
49,78100,0.2216
50,79662,0.224251,81224,0.2046
52,82786,0.3812
53,84348,0.1786
54,85910,0.2333
55,87472,0.283356,89034,0.2457
57,90596,0.1906
58,92158,0.2287
59,93720,0.2148
60,95282,0.074961,96844,0.0301
62,98406,0.0712
63,99968,0.0145
64,101530,0.0323
65,103092,0.022966,104654,0.0315
67,106216,0.0213
68,107778,0.0286
69,109340,0.0296
70,110902,0.038871,112464,0.0165
72,114026,0.0304
73,115588,0.0652
74,117150,0.0633
75,118712,0.057776,120274,0.0328
77,121836,0.0746
78,123398,0.0404
79,124960,0.0589
80,126522,0.006681,128084,0.0016
82,129646,0.0141
83,131208,0.0014
84,132770,0.0027
85,134332,0.002286,135894,0.0014
87,137456,0.0021
88,139018,0.0091
89,140580,0.0020
90,142142,0.001191,143704,0.0010
92,145266,0.0014
93,146828,0.0012
94,148390,0.0007
95,149952,0.0023
