epoch,iteration,loss
0,1562,0.79681,3124,0.6292
2,4686,0.7296
3,6248,0.6191
4,7810,0.5600
5,9372,0.71186,10934,0.5997
7,12496,0.5660
8,14058,0.5125
9,15620,0.5340
10,17182,0.555911,18744,0.4732
12,20306,0.6025
13,21868,0.4852
14,23430,0.3946
15,24992,0.478416,26554,0.5890
17,28116,0.4450
18,29678,0.4039
19,31240,0.4449
20,32802,0.518521,34364,0.5113
22,35926,0.3528
23,37488,0.6165
24,39050,0.4063
25,40612,0.464826,42174,0.4216
27,43736,0.4244
28,45298,0.4508
29,46860,0.4640
30,48422,0.320331,49984,0.2838
32,51546,0.2490
33,53108,0.1826
34,54670,0.3572
35,56232,0.383136,57794,0.2306
37,59356,0.2387
38,60918,0.3275
39,62480,0.3711
40,64042,0.222941,65604,0.2230
42,67166,0.2346
43,68728,0.3017
44,70290,0.2884
45,71852,0.219546,73414,0.1894
47,74976,0.1990
48,76538,0.1633
49,78100,0.3554
50,79662,0.282851,81224,0.2717
52,82786,0.2662
53,84348,0.3413
54,85910,0.1530
55,87472,0.243156,89034,0.2245
57,90596,0.2005
58,92158,0.1916
59,93720,0.2672
60,95282,0.084261,96844,0.0434
62,98406,0.0537
63,99968,0.0387
64,101530,0.0557
65,103092,0.031766,104654,0.0558
67,106216,0.0663
68,107778,0.0664
69,109340,0.0462
70,110902,0.029371,112464,0.0358
72,114026,0.1111
73,115588,0.0498
74,117150,0.0427
75,118712,0.099776,120274,0.1130
77,121836,0.0403
78,123398,0.0910
79,124960,0.0468
80,126522,0.011681,128084,0.0044
82,129646,0.0021
83,131208,0.0127
84,132770,0.0059
85,134332,0.002486,135894,0.0031
87,137456,0.0011
88,139018,0.0020
89,140580,0.0015
90,142142,0.001191,143704,0.0026
92,145266,0.0023
93,146828,0.0013
94,148390,0.0039
95,149952,0.0016
