epoch,iteration,loss
0,1562,0.75951,3124,0.7393
2,4686,0.8353
3,6248,0.5641
4,7810,0.4544
5,9372,0.59616,10934,0.5515
7,12496,0.6708
8,14058,0.5392
9,15620,0.5108
10,17182,0.507111,18744,0.4920
12,20306,0.6859
13,21868,0.4921
14,23430,0.5374
15,24992,0.549716,26554,0.4467
17,28116,0.5488
18,29678,0.5593
19,31240,0.5751
20,32802,0.503321,34364,0.5166
22,35926,0.5368
23,37488,0.4830
24,39050,0.5709
25,40612,0.511026,42174,0.5708
27,43736,0.3854
28,45298,0.3927
29,46860,0.4679
30,48422,0.282031,49984,0.2811
32,51546,0.3123
33,53108,0.2375
34,54670,0.2932
35,56232,0.283436,57794,0.2870
37,59356,0.1911
38,60918,0.3351
39,62480,0.2008
40,64042,0.317441,65604,0.1444
42,67166,0.2876
43,68728,0.2890
44,70290,0.3185
45,71852,0.167246,73414,0.2521
47,74976,0.1755
48,76538,0.2748
49,78100,0.1988
50,79662,0.375351,81224,0.1639
52,82786,0.2374
53,84348,0.2266
54,85910,0.2489
55,87472,0.276256,89034,0.2513
57,90596,0.2076
58,92158,0.3396
59,93720,0.3443
60,95282,0.061061,96844,0.0437
62,98406,0.0341
63,99968,0.0549
64,101530,0.0340
65,103092,0.054766,104654,0.0566
67,106216,0.0537
68,107778,0.0216
69,109340,0.1217
70,110902,0.020871,112464,0.0291
72,114026,0.0892
73,115588,0.0658
74,117150,0.0082
75,118712,0.053076,120274,0.0814
77,121836,0.1658
78,123398,0.0211
79,124960,0.0589
80,126522,0.003781,128084,0.0136
82,129646,0.0030
83,131208,0.0027
84,132770,0.0028
85,134332,0.002986,135894,0.0075
87,137456,0.0011
88,139018,0.0017
89,140580,0.0018
90,142142,0.001091,143704,0.0015
92,145266,0.0041
93,146828,0.0016
94,148390,0.0009
95,149952,0.0017
