epoch,iteration,loss
0,1562,0.77341,3124,0.6068
2,4686,0.6840
3,6248,0.5004
4,7810,0.5708
5,9372,0.51906,10934,0.5654
7,12496,0.5242
8,14058,0.7484
9,15620,0.6072
10,17182,0.623611,18744,0.4851
12,20306,0.4229
13,21868,0.5478
14,23430,0.6015
15,24992,0.490116,26554,0.5414
17,28116,0.4881
18,29678,0.3979
19,31240,0.4412
20,32802,0.606121,34364,0.4418
22,35926,0.5507
23,37488,0.4356
24,39050,0.4049
25,40612,0.569626,42174,0.4420
27,43736,0.4552
28,45298,0.5028
29,46860,0.6150
30,48422,0.303331,49984,0.2210
32,51546,0.3045
33,53108,0.1666
34,54670,0.4046
35,56232,0.341236,57794,0.3233
37,59356,0.3134
38,60918,0.3437
39,62480,0.3437
40,64042,0.342541,65604,0.3029
42,67166,0.2791
43,68728,0.1950
44,70290,0.3732
45,71852,0.242346,73414,0.2130
47,74976,0.1773
48,76538,0.2277
49,78100,0.2733
50,79662,0.256551,81224,0.3941
52,82786,0.2830
53,84348,0.3386
54,85910,0.3067
55,87472,0.195456,89034,0.3445
57,90596,0.2541
58,92158,0.1492
59,93720,0.1809
60,95282,0.054661,96844,0.1138
62,98406,0.0553
63,99968,0.0735
64,101530,0.0276
65,103092,0.018366,104654,0.0322
67,106216,0.0472
68,107778,0.0378
69,109340,0.0433
70,110902,0.040571,112464,0.0798
72,114026,0.0432
73,115588,0.0602
74,117150,0.0796
75,118712,0.054676,120274,0.0526
77,121836,0.0184
78,123398,0.0978
79,124960,0.0566
80,126522,0.003481,128084,0.0068
82,129646,0.0032
83,131208,0.0040
84,132770,0.0068
85,134332,0.002686,135894,0.0061
87,137456,0.0032
88,139018,0.0006
89,140580,0.0014
90,142142,0.000891,143704,0.0020
92,145266,0.0031
93,146828,0.0014
94,148390,0.0008
95,149952,0.0011
