epoch,iteration,loss
0,1562,0.83101,3124,0.7152
2,4686,0.5524
3,6248,0.5267
4,7810,0.5945
5,9372,0.51236,10934,0.5529
7,12496,0.5294
8,14058,0.4997
9,15620,0.4259
10,17182,0.557711,18744,0.5480
12,20306,0.4263
13,21868,0.4343
14,23430,0.4516
15,24992,0.492916,26554,0.4686
17,28116,0.4258
18,29678,0.4851
19,31240,0.5029
20,32802,0.373521,34364,0.6569
22,35926,0.5124
23,37488,0.4730
24,39050,0.5403
25,40612,0.504026,42174,0.5379
27,43736,0.4911
28,45298,0.4475
29,46860,0.4422
30,48422,0.214131,49984,0.3614
32,51546,0.2552
33,53108,0.2806
34,54670,0.3448
35,56232,0.403036,57794,0.1716
37,59356,0.3794
38,60918,0.3384
39,62480,0.2944
40,64042,0.327841,65604,0.3198
42,67166,0.1797
43,68728,0.3447
44,70290,0.1826
45,71852,0.440246,73414,0.1868
47,74976,0.1998
48,76538,0.2811
49,78100,0.1656
50,79662,0.240651,81224,0.2884
52,82786,0.2237
53,84348,0.2727
54,85910,0.2197
55,87472,0.201656,89034,0.1611
57,90596,0.3426
58,92158,0.3187
59,93720,0.2680
60,95282,0.053761,96844,0.0455
62,98406,0.0705
63,99968,0.0701
64,101530,0.0319
65,103092,0.010566,104654,0.0200
67,106216,0.0196
68,107778,0.0345
69,109340,0.0451
70,110902,0.064571,112464,0.0182
72,114026,0.0442
73,115588,0.0567
74,117150,0.0481
75,118712,0.031076,120274,0.0618
77,121836,0.0388
78,123398,0.0349
79,124960,0.0884
80,126522,0.004181,128084,0.0040
82,129646,0.0039
83,131208,0.0037
84,132770,0.0014
85,134332,0.002086,135894,0.0024
87,137456,0.0027
88,139018,0.0018
89,140580,0.0013
90,142142,0.002891,143704,0.0038
92,145266,0.0019
93,146828,0.0018
94,148390,0.0028
95,149952,0.0027
