epoch,iteration,loss
0,1562,0.75491,3124,0.6896
2,4686,0.7396
3,6248,0.6556
4,7810,0.5415
5,9372,0.70616,10934,0.5130
7,12496,0.5205
8,14058,0.4641
9,15620,0.5078
10,17182,0.369011,18744,0.6816
12,20306,0.6297
13,21868,0.5246
14,23430,0.5916
15,24992,0.591016,26554,0.4133
17,28116,0.3985
18,29678,0.4995
19,31240,0.4231
20,32802,0.524621,34364,0.4505
22,35926,0.4209
23,37488,0.5012
24,39050,0.5227
25,40612,0.659226,42174,0.5025
27,43736,0.4319
28,45298,0.5733
29,46860,0.3718
30,48422,0.269131,49984,0.2985
32,51546,0.2165
33,53108,0.3308
34,54670,0.3177
35,56232,0.252436,57794,0.2909
37,59356,0.2803
38,60918,0.3482
39,62480,0.1919
40,64042,0.252141,65604,0.3533
42,67166,0.2802
43,68728,0.2205
44,70290,0.2537
45,71852,0.221946,73414,0.2236
47,74976,0.2532
48,76538,0.2572
49,78100,0.3057
50,79662,0.263051,81224,0.2354
52,82786,0.2941
53,84348,0.1885
54,85910,0.3444
55,87472,0.150556,89034,0.2419
57,90596,0.2013
58,92158,0.2261
59,93720,0.1667
60,95282,0.105361,96844,0.0361
62,98406,0.0231
63,99968,0.0478
64,101530,0.0551
65,103092,0.043066,104654,0.0857
67,106216,0.0267
68,107778,0.0643
69,109340,0.0711
70,110902,0.042871,112464,0.0443
72,114026,0.0640
73,115588,0.0863
74,117150,0.0453
75,118712,0.161376,120274,0.0263
77,121836,0.0832
78,123398,0.0244
79,124960,0.0451
80,126522,0.010281,128084,0.0061
82,129646,0.0018
83,131208,0.0053
84,132770,0.0035
85,134332,0.003386,135894,0.0019
87,137456,0.0057
88,139018,0.0051
89,140580,0.0037
90,142142,0.001791,143704,0.0017
92,145266,0.0013
93,146828,0.0015
94,148390,0.0008
95,149952,0.0006
