epoch,iteration,loss
0,1562,0.75641,3124,0.7626
2,4686,0.6272
3,6248,0.6701
4,7810,0.6051
5,9372,0.55136,10934,0.4698
7,12496,0.5473
8,14058,0.5748
9,15620,0.5331
10,17182,0.562611,18744,0.6053
12,20306,0.5497
13,21868,0.3939
14,23430,0.5802
15,24992,0.556816,26554,0.5405
17,28116,0.3253
18,29678,0.7564
19,31240,0.6495
20,32802,0.446921,34364,0.4855
22,35926,0.6064
23,37488,0.5087
24,39050,0.4554
25,40612,0.525426,42174,0.4468
27,43736,0.5555
28,45298,0.5887
29,46860,0.5016
30,48422,0.264931,49984,0.2715
32,51546,0.2251
33,53108,0.3035
34,54670,0.3512
35,56232,0.267336,57794,0.2116
37,59356,0.2698
38,60918,0.2476
39,62480,0.3554
40,64042,0.274341,65604,0.1594
42,67166,0.2240
43,68728,0.3965
44,70290,0.3369
45,71852,0.317146,73414,0.2362
47,74976,0.1953
48,76538,0.2413
49,78100,0.3327
50,79662,0.185851,81224,0.1977
52,82786,0.2337
53,84348,0.2184
54,85910,0.3040
55,87472,0.270656,89034,0.2564
57,90596,0.1695
58,92158,0.2033
59,93720,0.2914
60,95282,0.045461,96844,0.1276
62,98406,0.0969
63,99968,0.0710
64,101530,0.0159
65,103092,0.013866,104654,0.0989
67,106216,0.0192
68,107778,0.0167
69,109340,0.0190
70,110902,0.047371,112464,0.0335
72,114026,0.0460
73,115588,0.1184
74,117150,0.0826
75,118712,0.080876,120274,0.0654
77,121836,0.1316
78,123398,0.0305
79,124960,0.0995
80,126522,0.011781,128084,0.0076
82,129646,0.0029
83,131208,0.0031
84,132770,0.0024
85,134332,0.001286,135894,0.0020
87,137456,0.0030
88,139018,0.0069
89,140580,0.0066
90,142142,0.000691,143704,0.0010
92,145266,0.0010
93,146828,0.0012
94,148390,0.0012
95,149952,0.0012
