epoch,iteration,loss
0,1562,0.85731,3124,0.6906
2,4686,0.6724
3,6248,0.7162
4,7810,0.5830
5,9372,0.53146,10934,0.7120
7,12496,0.5351
8,14058,0.5600
9,15620,0.5611
10,17182,0.431711,18744,0.5405
12,20306,0.4899
13,21868,0.4804
14,23430,0.5227
15,24992,0.485616,26554,0.5297
17,28116,0.5065
18,29678,0.5795
19,31240,0.5473
20,32802,0.430021,34364,0.5364
22,35926,0.4443
23,37488,0.4862
24,39050,0.3618
25,40612,0.574426,42174,0.5910
27,43736,0.5675
28,45298,0.6085
29,46860,0.4700
30,48422,0.389531,49984,0.3082
32,51546,0.2323
33,53108,0.2759
34,54670,0.2296
35,56232,0.297036,57794,0.2565
37,59356,0.3252
38,60918,0.3690
39,62480,0.2046
40,64042,0.188741,65604,0.3452
42,67166,0.3032
43,68728,0.2604
44,70290,0.3076
45,71852,0.245046,73414,0.2165
47,74976,0.2964
48,76538,0.3059
49,78100,0.2210
50,79662,0.272351,81224,0.2387
52,82786,0.2636
53,84348,0.2549
54,85910,0.2611
55,87472,0.186456,89034,0.2365
57,90596,0.2283
58,92158,0.2589
59,93720,0.1229
60,95282,0.079461,96844,0.0249
62,98406,0.0228
63,99968,0.0472
64,101530,0.0702
65,103092,0.089266,104654,0.0385
67,106216,0.0581
68,107778,0.0416
69,109340,0.0437
70,110902,0.035671,112464,0.0394
72,114026,0.0292
73,115588,0.0469
74,117150,0.0532
75,118712,0.046776,120274,0.0469
77,121836,0.0984
78,123398,0.0964
79,124960,0.0395
80,126522,0.010781,128084,0.0074
82,129646,0.0021
83,131208,0.0025
84,132770,0.0028
85,134332,0.001386,135894,0.0026
87,137456,0.0017
88,139018,0.0026
89,140580,0.0018
90,142142,0.001191,143704,0.0027
92,145266,0.0024
93,146828,0.0058
94,148390,0.0011
95,149952,0.0013
